id,date_time,city,state_id,shape,duration,summary,date_posted
1898,11/13/20 07:26,Pearl,MS,Light,5,"Green sphere seen in Pearl, Ms",12/23/20
1899,11/13/20 06:03,Virginia beach,VA,Light,10 minutes,I was at my local basketball courts with some friends and we saw lights moving in the sky in ways that didn’t seem normal. There was an,12/23/20
1900,11/13/20 05:45,Moncks Corner,SC,Other,2 minutes,We have a landfill in town. Something resembling a rocket took off from the area the landfill is at. It's also a methane processing pla,12/23/20
1901,11/13/20 05:35,Benson/four oaks,NC,Light,10mins,White bright light objects that started as 1 then 2 and jumped to 5 moving extremely high but still in our atmosphere,12/23/20
1902,11/13/20 01:35,Port Angeles,WA,,,MADAR Node 49,12/23/20
1903,11/13/20 01:10,Abilene,TX,Triangle,3,Boomerang shape black with 5 lights. no sound fly at a fast pace. Seen for about two seconds once my eyes focused. it was headed south.,12/23/20
1904,11/13/20 00:30,Burlington (Canada),ON,Light,Still there,Unidentifiable light hoovering above Burlington ON,12/23/20
1905,11/13/20 00:30,Burlington,ON,Light,Still there,Unidentifiable light hoovering above Burlington ON,12/23/20
1906,11/13/20 00:00,Corrales,NM,Cigar,Moments,"Short cigar, cigar shaped object.  Over the house, a little ways.  Bright sillouettte.",12/23/20
1907,11/12/20 22:03,Fishers,IN,,,MADAR Node 84,12/23/20
1908,11/12/20 19:35,Tucson,AZ,Formation,1-3 minutes,Red/orange lights lined up in formation high above Tucson AZ,12/23/20
1909,11/12/20 19:00,Decherd,TN,Cigar,7 minutes,My kids alerted me to 4 lights blinking in rhythm it was dark but far off but still huge. It was silent no noise at all and just blinke,12/23/20
1910,11/12/20 19:00,Phoenix,AZ,Light,5 minutes,"Star-like object moving across sky, swerving side to side.",12/23/20
1911,11/12/20 18:25,Cajon Pass,CA,Fireball,1 second,"11/12/2020 @ approx. 18:25 Southbound on the Cajon Pass, CA.As I was driving down the Pass, at about the heighth of a helicopter,We",12/23/20
1912,11/12/20 18:20,Knoxville,TN,Other,8-10 minutes,"I saw eight independent, irregular-moving glowing objects cross the night sky.",12/23/20
1913,11/12/20 18:10,Dublin,CA,Other,6 minutes,Dim Non-satellite changes direction. Gets curious. Goes extremely fast exciting.,12/23/20
1914,11/12/20 17:00,Wheatland,CA,Other,10 minutes we were able t,"Me and my mother were driving on 65 south going back towards Roseville, CA and she saw this bright white light in the sky and thought i",12/23/20
1915,11/12/20 17:00,North Hollywood,CA,Other,10/15 seconds,"No lights,no sound, approximately 300/ 1000 feet elevation.  It was shaped like a surfboard or a straight single wing. It was tan or li",12/23/20
1916,11/12/20 11:30,Los Angeles,CA,Unknown,10+,Unusual clouds looking like missile launch,12/23/20
1917,11/12/20 08:10,Gibson,LA,Disk,5 seconds,Silver reflective object that immediately disappears!,12/23/20
1918,11/12/20 03:45,Huber Heights,OH,Triangle,5 minutes,"Black triangle, row of amber lights on the back and one red blinking light centered underneath",12/23/20
1919,11/11/20 20:50,Bluffton,SC,Triangle,2 minutes,"tricycle, back wheels blue lights, front red light, noise was loud roaring sound",12/23/20
1920,11/11/20 19:00,Rogue River,OR,Light,30 seconds,"I was looking North at the Big Dipper and North Star, when I spotted a object that was white or a bright light appear to the West at ap",1/19/21
1921,11/11/20 18:19,Cedar Hill,TX,Disk,2-3 minutes,Was smoking  on my patio as was looking at the sky toward East northeast Dallas and I saw an shining object first assumed it’s is a pla,12/23/20
1922,11/11/20 18:00,Mission,KS,Sphere,2 seconds,"Fast moving, bright white spherical object.",12/23/20
1923,11/11/20 18:00,Scappoose,OR,,45 sec,,12/23/20
1924,11/11/20 16:13,Laguna Hills,CA,Circle,13 minutes,Red lights were going inside two red crafts,12/23/20
1925,11/11/20 16:13,Laguna Hills,CA,Circle,13 minutes,"It lasted for 13 minutes, moved and then disappeared",12/23/20
1926,11/11/20 15:26,Playa Del Rey,CA,Disk,1 seconds,"For the last 300 days , the LAPD helicopter in marina del Rey , los angels has been chasing a small 10 inch uncatchable copper disc. I",12/23/20
1927,11/11/20 15:00,Roseburg,OR,Unknown,3 minutes,Truly deafening ship heard overhead.,12/23/20
1928,11/11/20 11:11,Planet Earth,,Other,Forever,It's a bit sad.,12/23/20
1929,11/11/20 10:11,West Lorne (Canada),ON,Disk,10:14,I was walking my dog around 10am when my normally well behaved dog began to act strange. I got her under control happen to look up and,12/23/20
1930,11/11/20 06:20,Malone,NY,Cylinder,25 seconds,Cylinder shaped object in sky.,12/23/20
1931,11/11/20 06:15,Cottonwood,AZ,Light,15 minutes,At approx 6:15 am I was getting off work when I witnessed a large orange light going very fast in Northern direction by verde valley me,12/23/20
1932,11/11/20 05:45,Santa Claus,IN,,,MADAR Node 114,12/23/20
1933,11/10/20 23:45,Raymore,MO,Triangle,10 minutes,Massive triangular craft seen hovering/twisting. Fast blinking lights that blinked in rhythmic procession. Seemed absolutely massive. D,12/23/20
1934,11/10/20 23:43,Raymore,MO,Triangle,5 minutes,3 Pulsating Lights Hovering in Night Sky,12/23/20
1935,11/10/20 23:37,Belton,MO,Triangle,3 minutes,A black massive triangle shaped ufo with blinking orangish lights on each corner (3) was slowly hovering from the west heading east. Th,12/23/20
1936,11/10/20 22:10,McClure,PA,Light,15+ minutes,“Star”-like object moves around in one place and seems to be searching.,12/23/20
1937,11/10/20 21:00,Hendersonville,TN,Disk,1 hour,Me and a buddy of mine were walking to his place around 8:45PM.the neighborhood we were in was well lit so you could see in the sky wel,12/23/20
1938,11/10/20 19:43,Williams,AZ,Oval,30 seconds,"With a group of 5 people star watching in Williams, Arizona. We tracked two satellites and saw two shooting stars, when we noticed dire",12/23/20
1939,11/10/20 18:40,Reseda,CA,Light,10 seconds,I saw a distant light that sped off much faster than any normal aircraft.,12/23/20
1940,11/10/20 11:54,Jonesboro,AR,,,MADAR Node 143,12/23/20
1941,11/10/20 09:00,Oxnard,CA,,10 seconds,((NUFORC Note:  Source of report provides no information.  PD)),12/23/20
1942,11/10/20 08:00,Painesville,OH,Sphere,3 seconds,I was working my food delivery job and I just got finished dropping off my last delivery I was about to pull out but as I stopped I loo,12/23/20
1943,11/10/20 07:35,Filer,ID,Triangle,5 minutes,Two possible triangle objects hovering over near Highway 93/,12/23/20
1944,11/10/20 06:20,Grove City,OH,Light,3 minutes,bright satellite moving to the southeast ejecting a bright flash.,12/23/20
1945,11/10/20 06:19,Farmington Hills,MI,,,MADAR Node 144,12/23/20
1946,11/10/20 03:00,Esther,AK,Cigar,5 minutes,Large craft with several circular lights surrounding it.,12/23/20
1947,11/9/20 23:00,East Freedom,PA,Oval,10 minutes,The object observed was a very large oval/disc shaped aircraft that was hovering closer to the ground. The object was blinking red and,12/23/20
